drug_id,disease_id,label
DB01010,MESH:D005258,0
DB00863,MESH:D014945,1
DB09532,MESH:D001748,0
DB00877,MESH:D018192,1
DB00642,MESH:D054363,1
DB01203,MESH:D015817,0
DB00618,MESH:D014552,1
DB02325,MESH:D004823,0
DB00860,MESH:D001171,1
DB00626,MESH:D000788,0
DB13170,MESH:D020178,0
DB00930,MESH:D009879,0
DB00758,MESH:D064646,1
DB00952,MESH:D009293,0
DB00472,MESH:D065446,1
DB01188,MESH:D057985,0
DB06637,MESH:D063726,0
DB00997,MESH:D009182,1
DB00619,MESH:D002575,0
DB00541,MESH:D012512,1
DB01137,MESH:D055985,0
DB11614,MESH:D065631,1
DB00860,MESH:D013968,1
DB09153,MESH:D009230,0
DB00426,MESH:D006558,1
DB14543,MESH:D011658,0
DB04815,MESH:C537696,0
DB06782,MESH:D011655,0
DB01406,MESH:D054179,1
DB01380,MESH:D011015,1
DB01211,MESH:D015521,1
DB06802,MESH:D007019,0
DB00607,MESH:D001424,1
DB00480,MESH:D000075,1
DB01627,MESH:D011629,0
DB00440,MESH:D016055,0
DB00798,MESH:D003231,1
DB00642,MESH:D008654,1
DB08824,MESH:D054307,0
DB00814,MESH:D014098,1
DB10989,MESH:D006506,1
DB11936,MESH:D008108,0
DB09140,MESH:D006976,1
DB00619,MESH:D009190,1
DB06215,MESH:D007057,0
DB00561,MESH:D004761,0
DB09084,MESH:D007022,0
DB00443,MESH:D007627,1
DB00572,MESH:D009877,1
DB09496,MESH:D001281,0
DB11571,MESH:D002692,0
DB01330,MESH:D020246,0
DB00201,MESH:D018781,1
DB00741,MESH:D011657,1
DB00231,MESH:D054537,0
DB00783,MESH:D015663,1
DB09270,MESH:D008881,1
DB00273,MESH:D008881,1
DB00741,MESH:D016553,1
DB01220,MESH:D043183,1
DB06077,MESH:D012559,1
DB13906,MESH:D003876,1
DB00945,MESH:D005334,1
DB00573,MESH:D010003,1
DB00916,MESH:D004886,0
DB00917,MESH:D031901,1
DB06764,MESH:C567091,1
DB06643,MESH:D000707,0
DB08826,MESH:D006560,0
DB00608,MESH:D004672,0
DB00766,MESH:D001424,1
DB01416,MESH:D011014,1
DB00224,MESH:D002583,0
DB00775,MESH:D020514,0
DB00207,MESH:D003234,1
DB04861,MESH:D006527,0
DB13943,MESH:D006473,0
DB11571,MESH:D013281,0
DB01060,MESH:D014552,1
DB00085,MESH:C000593,1
DB06605,MESH:D007827,0
DB00080,MESH:D007319,0
DB00412,MESH:C537136,0
DB02513,MESH:D008169,0
DB00897,MESH:D007319,1
DB01017,MESH:D012061,1
DB11703,MESH:D015451,1
DB01303,MESH:D013927,0
DB01076,MESH:D052497,0
DB13200,MESH:D010493,0
DB00773,MESH:D009101,1
DB09149,MESH:D003872,0
DB00727,MESH:D000787,1
DB09080,MESH:C564320,0
DB00494,MESH:D010300,1
DB00352,MESH:D006473,0
DB06684,MESH:D005738,0
DB13152,MESH:D001249,0
DB13906,MESH:D005499,1
DB06211,MESH:D013285,0
DB01077,MESH:D000952,0
DB01331,MESH:D018784,1
DB06016,MESH:D012559,1
DB00310,MESH:D011702,0
DB00003,MESH:D003550,1
DB00618,MESH:D012061,1
DB00214,MESH:D004487,1
DB00569,MESH:D003085,0
DB00727,MESH:D006333,1
DB09449,MESH:D014883,1
DB00257,MESH:D014005,1
DB14783,MESH:D003711,1
DB00251,MESH:D003773,0
DB01233,MESH:D018589,1
DB06605,MESH:D016584,0
DB00400,MESH:D009207,0
DB12364,MESH:D012223,0
DB00080,MESH:D016470,1
DB06643,MESH:D001851,1
DB00857,MESH:D058365,0
DB01592,MESH:D008269,0
DB09050,MESH:D011704,1
DB00724,MESH:D008976,1
DB00472,MESH:D009207,1
DB04865,MESH:D015465,1
DB01058,MESH:D008088,0
DB06215,MESH:D015210,0
DB04572,MESH:D016066,1
DB13884,MESH:D006560,0
DB00960,MESH:D009196,0
DB01276,MESH:D021921,0
DB00515,MESH:D000275,0
DB15528,MESH:D009134,1
DB00603,MESH:D004714,1
DB11164,MESH:C000601,0
DB12612,MESH:D004374,0
DB13125,MESH:D016553,1
DB06655,MESH:D015535,0
DB00020,MESH:D010211,0
DB11601,MESH:D014376,1
DB00186,MESH:D016584,1
DB00959,MESH:D008223,1
DB09151,MESH:D000544,1
DB15595,MESH:D011471,0
DB09060,MESH:D001424,1
DB00945,MESH:D000137,0
DB09107,MESH:D004894,0
DB01592,MESH:D003919,0
DB01095,MESH:D006954,1
DB00571,MESH:D003324,1
DB00201,MESH:D006261,1
DB06401,MESH:D020277,0
DB01601,MESH:D016262,0
DB00916,MESH:D004697,1
DB00598,MESH:C031967,1
DB14503,MESH:D020803,0
DB00520,MESH:D009404,0
DB13595,MESH:D004748,0
DB00635,MESH:D012859,1
DB00062,MESH:D007019,1
DB06590,MESH:D020178,0
DB09065,MESH:D015658,1
DB00293,MESH:D014958,0
DB01436,MESH:D006996,1
DB00648,MESH:D003480,1
DB00351,MESH:D009956,0
DB08906,MESH:D013851,0
DB00624,MESH:D011628,1
DB01331,MESH:D007634,0
DB00656,MESH:D055496,0
DB00921,MESH:D009293,1
DB09083,MESH:D008105,0
DB00790,MESH:C074502,0
DB00967,MESH:D014689,0
DB01083,MESH:C000600,0
DB13873,MESH:D015228,1
DB00710,MESH:C400741,0
DB00455,MESH:D012221,1
DB00346,MESH:D004342,0
DB00005,MESH:D017511,1
DB04815,MESH:D011537,1
DB01114,MESH:D006558,0
DB00811,MESH:D019698,1
DB14962,MESH:D000077260,0
DB13848,MESH:D007943,0
DB00297,MESH:D001172,1
DB00656,MESH:D001007,1
DB00635,MESH:D012713,1
DB05311,MESH:D015663,0
DB14006,MESH:D006261,1
DB00863,MESH:D002006,0
DB04895,MESH:D006628,0
DB00110,MESH:D003731,0
DB00065,MESH:D001196,0
DB00564,MESH:D010146,1
DB01109,MESH:D011655,1
DB00349,MESH:D004827,1
DB00479,MESH:C567379,1
DB01210,MESH:D005902,1
DB09312,MESH:D018589,0
DB00543,MESH:D013717,0
DB00347,MESH:D024741,0
DB00983,MESH:D029424,1
DB00982,MESH:D009182,1
DB06691,MESH:D003139,1
DB00241,MESH:D003448,0
DB14879,MESH:D003731,0
DB11827,MESH:D009436,0
DB00328,MESH:D002062,1
DB00022,MESH:D019698,1
DB00146,MESH:D013700,0
DB01059,MESH:D011226,0
DB11793,MESH:D009325,0
DB11608,MESH:D020522,0
DB00800,MESH:D004697,0
DB00324,MESH:D000686,0
DB06401,MESH:D003248,0
DB13268,MESH:D013262,0
DB00297,MESH:D013717,1
DB09331,MESH:D020522,0
DB01115,MESH:D060050,1
DB00515,MESH:D002289,1
DB01174,MESH:D012640,1
DB01222,MESH:D053158,0
DB00756,MESH:D010300,0
DB13931,MESH:D010211,1
DB00675,MESH:D001289,0
DB00715,MESH:D061686,1
DB06720,MESH:D005776,1
DB01764,MESH:D003681,0
DB15271,MESH:D014945,0
DB00359,MESH:D008585,1
DB01267,MESH:D063726,1
DB06480,MESH:D008309,0
DB00668,MESH:D013575,1
DB00323,MESH:D010300,1
DB00028,MESH:D015451,1
DB06795,MESH:D007010,0
DB09183,MESH:D011185,0
DB04272,MESH:D007669,1
DB01019,MESH:D000072,0
DB00299,MESH:D005334,0
DB08884,MESH:D013742,0
DB01076,MESH:C536896,1
DB00435,MESH:D008599,0
DB14491,MESH:D008169,0
DB00915,MESH:D010301,1
DB08903,MESH:C537436,0
DB09061,MESH:D003027,0
DB00841,MESH:D006333,1
DB01009,MESH:D013167,1
DB01183,MESH:D012131,1
DB06769,MESH:D016849,0
DB01156,MESH:D016574,1
DB00916,MESH:D008581,1
DB08885,MESH:D005334,0
DB01592,MESH:D013276,0
DB12329,MESH:D059413,1
DB01175,MESH:D003865,1
DB00788,MESH:D001171,1
DB01281,MESH:C565798,1
DB00762,MESH:C536773,0
DB06684,MESH:D001281,0
DB01007,MESH:D002181,1
DB00633,MESH:D002707,1
DB01080,MESH:D012640,1
DB00715,MESH:D003865,1
DB01167,MESH:C000656,1
DB01234,MESH:D012507,1
DB01075,MESH:D000027,0
DB00650,MESH:D001749,1
DB00099,MESH:D014647,0
DB09324,MESH:D000069836,1
DB00737,MESH:D014717,1
DB01127,MESH:D010024,0
DB00373,MESH:C535959,0
DB00959,MESH:D003876,1
DB01053,MESH:D012480,0
DB06719,MESH:D004715,1
DB00440,MESH:D009617,1
DB00709,MESH:D020178,0
DB01148,MESH:D000038,0
DB00859,MESH:C565798,1
DB00303,MESH:D011014,1
DB00860,MESH:D003874,1
DB00857,MESH:D002179,1
DB06720,MESH:D015821,0
DB00207,MESH:D000292,1
DB00873,MESH:D020301,0
DB00707,MESH:D012818,0
DB00816,MESH:D001249,1
DB00370,MESH:D012559,1
DB00581,MESH:D011226,0
DB00816,MESH:D054143,0
DB01138,MESH:D010974,1
DB14598,MESH:D006561,0
DB00009,MESH:D011655,1
DB00485,MESH:D007169,1
DB00469,MESH:D003872,0
DB13946,MESH:D020896,0
DB06215,MESH:D017719,0
DB00230,MESH:D005356,1
DB00296,MESH:D013964,0
DB00227,MESH:C000593,0
DB06590,MESH:D011711,0
DB00661,MESH:D006973,1
DB00253,MESH:D003320,0
DB01104,MESH:D000073,1
DB01294,MESH:D005877,0
DB06282,MESH:D000754,0
DB01136,MESH:D001281,1
DB00967,MESH:D014522,0
DB00388,MESH:D000471,0
DB09026,MESH:D015140,0
DB00740,MESH:D011656,0
DB09113,MESH:D007732,0
DB11278,MESH:D010612,1
DB00788,MESH:D015210,1
DB00939,MESH:D005334,1
DB00671,MESH:D008193,1
DB00982,MESH:D009447,1
DB14544,MESH:D012871,1
DB00325,MESH:D010146,0
DB01076,MESH:D006954,1
DB01606,MESH:D020246,0
DB11228,MESH:D009402,0
DB13906,MESH:D002833,0
DB09449,MESH:D005891,0
DB00958,MESH:D054363,1
DB09353,MESH:D013345,0
DB01229,MESH:D002289,1
DB00465,MESH:C506814,0
DB00263,MESH:D006967,0
DB00059,MESH:D006953,0
DB06786,MESH:D012871,1
DB06703,MESH:D010374,0
DB00405,MESH:D020250,0
DB00783,MESH:D012772,0
DB00497,MESH:D019052,0
DB01618,MESH:D000752,0
DB00708,MESH:D014927,0
DB14473,MESH:D000789,0
DB06343,MESH:D049970,1
DB00591,MESH:D003876,1
DB01095,MESH:C536896,1
DB11608,MESH:D006470,1
DB00620,MESH:D014235,1
DB01174,MESH:D005767,0
DB13878,MESH:D009459,0
DB00196,MESH:D002181,1
DB13928,MESH:D003924,1
DB01235,MESH:D066066,0
DB04899,MESH:D006333,1
DB13501,MESH:D013471,1
DB00672,MESH:D005076,0
DB01246,MESH:D000172,0
DB00620,MESH:D017285,1
DB00654,MESH:D010211,1
DB00297,MESH:D015535,1
DB00199,MESH:D001424,1
DB00784,MESH:D013832,0
DB01344,MESH:D016481,0
DB13170,MESH:D004831,0
DB00098,MESH:D009190,1
DB00187,MESH:D001281,1
DB05541,MESH:D013920,0
DB00620,MESH:D001929,1
DB01164,MESH:D013746,1
DB06781,MESH:D017229,0
DB00201,MESH:D005221,1
DB09045,MESH:D019693,0
DB06703,MESH:D012078,1
DB00972,MESH:D013471,0
DB00181,MESH:D018771,1
DB00492,MESH:D005185,0
DB09061,MESH:D008368,0
DB01093,MESH:D018856,1
DB00028,MESH:D020277,1
DB14783,MESH:D010488,0
DB01265,MESH:D008575,0
DB09543,MESH:D012640,1
DB06824,MESH:D006527,1
DB00287,MESH:C564320,0
DB11571,MESH:D003457,0
DB00253,MESH:D017118,0
DB00691,MESH:D006973,1
DB06715,MESH:D011832,1
DB01007,MESH:D009298,0
DB01344,MESH:D013530,0
DB00182,MESH:D001289,1
DB06605,MESH:D000312,0
DB00410,MESH:D013345,0
DB00641,MESH:D009902,0
DB07565,MESH:D013923,0
DB00626,MESH:D011014,1
DB00635,MESH:C535590,1
DB00635,MESH:D013167,1
DB06209,MESH:C531816,0
DB09101,MESH:D001480,0
DB09329,MESH:D006689,0
DB00552,MESH:D044682,0
DB15035,MESH:D000077260,0
DB00540,MESH:D004412,0
DB08820,MESH:D014552,0
DB00254,MESH:D004405,1
DB06820,MESH:D013174,0
DB01075,MESH:D010661,0
DB00476,MESH:D003929,1
DB01377,MESH:D007889,0
DB09106,MESH:D014390,0
DB00347,MESH:D003877,0
DB00338,MESH:D004381,1
DB00945,MESH:D009203,1
DB00452,MESH:D007239,1
DB00259,MESH:D002181,1
DB13170,MESH:D003248,1
DB00762,MESH:D055752,1
DB00178,MESH:D018805,0
DB01241,MESH:D010392,0
DB00201,MESH:D010146,1
DB00620,MESH:D000224,1
DB11066,MESH:D015821,0
DB00495,MESH:D006558,0
DB00860,MESH:D000224,1
DB09331,MESH:D053717,0
DB01323,MESH:D016574,1
DB00227,MESH:D050171,1
DB00248,MESH:D006966,1
DB09153,MESH:D015715,1
DB01082,MESH:D006100,1
DB00331,MESH:D000856,0
DB00507,MESH:D003015,1
DB12328,MESH:D014860,1
DB11065,MESH:D013274,0
DB09303,MESH:D050197,1
DB01042,MESH:D009190,0
DB00788,MESH:D014009,0
DB01017,MESH:D014526,1
DB01144,MESH:D009798,1
DB01036,MESH:D045602,0
DB00839,MESH:D003924,1
DB00572,MESH:D004786,1
DB00190,MESH:D010302,1
DB00986,MESH:D001480,0
DB01395,MESH:C537436,1
DB11640,MESH:D015624,1
DB00759,MESH:D006100,1
DB04844,MESH:D019449,0
DB01307,MESH:D009447,0
DB06774,MESH:D001168,1
DB00959,MESH:D001171,1
DB00571,MESH:D013971,1
DB00860,MESH:D013716,1
DB00507,MESH:D054363,0
DB12070,MESH:D003586,1
DB00780,MESH:D007246,0
DB01069,MESH:D000707,1
DB00966,MESH:D009181,0
DB00760,MESH:D016920,1
DB09123,MESH:D020061,0
DB01211,MESH:D011014,1
DB00627,MESH:D001361,1
DB08827,MESH:D003872,0
DB01099,MESH:D009181,1
DB01320,MESH:D009837,0
DB00279,MESH:D004827,0
